,,,"هب داوم يخرب قاحلا نوناق )28( هدام )د( دنب قيرط ا هك
لامعا )2( تلدد يلام تاررقم ا يللشخب ميظنت نوناق
.دوشيم",,,,
55.250,,,"مللشللش همانرب نوناق رد جردنم فادها رياللس يارجا
ندرك دنمفده نوناق )11( ات )8( داوم يارجا ،هعسوت
فيدر نيا رابتعا )%90( دللصرد دون قادح اههناراي
صاخ راشقا تلدد مهس هميب قح يارب هدناميقاب د
،يرهشندرب د ندرد قن د مح ناگدننار هلمج ا(
تسرپرسدب د راوناخ تسرپرس نان د نافابيلاق
ات يرگلللشدرگ نايامنهار د )لاير درايليم رازه جنپ(
رسعم ناگدنم ر هب كمك ،)رفن رازهدد",26,,,
121.000,,,مدنگ ينيمضت ديرخ د نان هناراي,27,,,
4.000,,,نايوجشناد يهافر روما د هيذغت,28,,,
102.000,,,"دون قادح )18 هرلللصبت فلا دنب( لاغتلللشا د ديلوت
يارب هدناميقاب د فيدر نيا رابتعا )%90( دلللصرد
د ي رداشك ياههداهن د نکسم ،يلير قن د مح
د نايياتللسدر ،نا رداللشك يعامتجا هميب قددنللص
رياشع",29,,,
292.513,,,"جردنم طبترم مادقا حرش هب يدنمفده فراصم رياس
نوناق نيا )9( د )7( لدادج رد",30,,,
310.000,,,"بلللسح اهراوناخ يتلللشيعم تيامح حرط يارجا
د همانرب نام اس کرتشم داهنشيپ هب هك ياهماننييآ
يعامتجا هافر د راك ،نداعت ترا د د روللشك هجدوب
.دسريم ناري د تأيه بيوصتهب",31,,,
"1.520.26
3",,,يدنمفده فراصم عمج,,,,
,2.507.26,,ك عمج,,,2.507.260,اهيتفايرد ك عمج
,0,,,,,,
"ا تيامح تهج قرب د آ ادرف ا يتفايرد هوجد يمامت د تسا هدشن هبساحم قوف لددج رد هك هدوب لاير درايليم )49.998( قرب تعنص ناي -1
.تسا روكذم ياهتكرش هدهعرب ينوناق فيلاکت يارجا د دوشيم هداد تشگرب طبريل ياهتكرش هب هتفه دد تدم فرظ رثكادح قرب د آ تعنص
.ديامن اجهباج يدنمفده فراصم ياهفيدر رد ،يدنمفده فراصم)%10( دصردهد فقس ات دوشيم هداد ه اجا تلدد هب -2
CNG
اههاگياج نيا طسوت روكذم غلبم د هديدرگن هبساحم قوف لددج فراصم د عبانم رد ) ( يجنايس د يتفن هعرع ياههاگياج معلاقح لداعم -3
.دوشيم تشادرب ادرف حم ا
.تسا هدشن روظنم )نوناق نيا )6( هرصبت )د( دنب( ،روشك قرب تعنص ا تيامح نوناق )5( هدام ضراوع ،قرب شخب فراصم د عبانم رد -4
.دريگيم تروص روكذم هاگدرين هدشيسرباسح هدشمامت هنيزه ساسارب رهشوب يمتا هاگدرين ا قرب ديرخ 1399 لاس رد -5
رد جردنم يتفن ياههدردآرف يلخاد ادرف ا للصاح دمآرد شيازفا اي د يتفن ياههدردآرف تارداللص ا يللشان دمآرد شيازفا تروللص رد -6
يدنمفده فراصم )27( فيدر غلبم شيازفا هب لاير )30.000.000.000.000( درايليم رازهيس فقس ات نآ ا صاح دمآرد ،عبانم )2( د )1( ياهدنب
.دباييم صاصتخا ادهش نيدلاد تمدخناياپ ااداپ يارب هدناميقاب د )مدنگ ينيمضت ديرخ د نان هناراي(
.دباييم صاصتخا يصخش يراوس ياهدردوخ هب هناتسبات ت يطعت اي ون لاس ت يطعت يارب نيزنب رتيل تصش ،هناهام هيمهس رب هد ع -7",,,,,,,
