LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1395,MORE INFO,LEVEL
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی,مالیات عالی‌الحساب اشخاص حقوقی,ردیف شماره ۱۱۰۱۰۲ از جدول شماره ۵,,"5,775.490",0.000,0.000,"5,775.490",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات شرکت‌های دولتی,مالیات عملکرد شرکت‌های دولتی,ردیف شماره ۱۱۰۱۰۳ از جدول شماره ۵,,"4,951.725",0.000,0.000,"4,951.725",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات‌ نهادها و بنیادها,مالیات‌ نهادها و بنیادهای انقلاب اسلامی,ردیف شماره ۱۱۰۱۰۴ از جدول شماره ۵,,97.890,0.000,0.989,98.879,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی غیر دولتی,مالیات اشخاص حقوقی غیر دولتی,ردیف شماره ۱۱۰۱۰۵ از جدول شماره ۵,,0.000,"22,743.229",199.427,"22,942.656",,4
درآمدها,مالیات,مالیات شرکت‌ها,,مالیات اشخاص حقوقی,ردیف شماره ۱۱۰۱۰۰ از جدول شماره ۵,,"10,825.105","22,743.229",200.416,"33,768.750",,3
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان دولتی,مالیات حقوق کارکنان بخش عمومی,ردیف شماره ۱۱۰۲۰۱ از جدول شماره ۵,,0.000,"4,389.066",44.334,"4,433.400",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان بخش خصوصی,مالیات حقوق کارکنان بخش خصوصی,ردیف شماره ۱۱۰۲۰۲ از جدول شماره ۵,,0.000,"4,514.294",45.599,"4,559.893",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مشاغل,مالیات مشاغل,ردیف شماره ۱۱۰۲۰۳ از جدول شماره ۵,,0.000,"4,250.007",42.929,"4,292.936",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مستغلات,مالیات مستغلات,ردیف شماره ۱۱۰۲۰۴ از جدول شماره ۵,,0.000,789.007,7.970,796.977,,4
درآمدها,مالیات,مالیات بر درآمد,مالیات‌های متفرقه درآمد,مالیات‌های متفرقه درآمد,ردیف شماره ۱۱۰۲۰۵ از جدول شماره ۵,,0.000,9.988,0.101,10.089,,4
درآمدها,مالیات,مالیات بر درآمد,معافیت مالیاتی,معافیت مالیاتی,ردیف شماره ۱۱۰۲۰۶ از جدول شماره ۵,,120.000,0.000,0.000,120.000,,4
درآمدها,مالیات,مالیات بر درآمد,,مالیات بر درآمد,ردیف شماره ۱۱۰۲۰۰ از جدول شماره ۵,,120.000,"13,952.362",140.933,"14,213.295",,3
درآمدها,مالیات,مالیات بر ثروت,مالیات بر ارث,مالیات بر ارث,ردیف شماره ۱۱۰۳۰۱ از جدول شماره ۵,,0.000,462.355,4.670,467.025,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات‌های اتفاقی,مالیات‌های اتفاقی,ردیف شماره ۱۱۰۳۰۲ از جدول شماره ۵,,0.000,25.000,0.253,25.253,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقال سرقفلی,مالیات نقل و انتقال سرقفلی,ردیف شماره ۱۱۰۳۰۳ از جدول شماره ۵,,0.000,723.888,7.312,731.200,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقال سهام,مالیات نقل و انتقال سهام,ردیف شماره ۱۱۰۳۰۴ از جدول شماره ۵,,0.000,515.056,5.203,520.259,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقالات املاک,مالیات نقل و انتقالات املاک,ردیف شماره ۱۱۰۳۰۵ از جدول شماره ۵,,0.000,360.057,3.637,363.694,,4
درآمدها,مالیات,مالیات بر ثروت,حق تمبر ,حق تمبر و اوراق بهادار,ردیف شماره ۱۱۰۳۰۶ از جدول شماره ۵,,0.000,421.777,4.260,426.037,,4
,,مالیات بر ثروت,,مالیات بر ثروت,ردیف شماره ۱۱۰۳۰۰ از جدول شماره ۵,,0.000,"2,508.133",25.335,"2,533.468",,3
درآمدها,مالیات,مالیات بر واردات,حق گمرکی کالاها,حقوق ورودی سایر کالاها (بر اساس موضوع بند ب ماده ۱۵ آیین‌نامه اجرایی قانون امور گمرکی) ,ردیف شماره ۱۱۰۴۰۱ از جدول شماره ۵,,"12,342.500",0.000,302.000,"12,644.500",,4
درآمدها,مالیات,مالیات بر واردات,حقوق ورودی خودرو,حقوق وردی خودرو,ردیف شماره ۱۱۰۴۰۲ از جدول شماره ۵,,"3,442.500",0.000,0.000,"3,442.500",,4
درآمدها,مالیات,مالیات بر واردات,حقوق ورودی دستگاه‌های اجرایی,حقوق ورودی دستگاه‌های اجرایی (جمعی - خرجی),ردیف شماره ۱۱۰۴۰۳ از جدول شماره ۵,,95.000,0.000,0.000,95.000,,4
درآمدها,مالیات,مالیات بر واردات,نیم درصد عوارض بر واردات,نیم درصد عوارض بر واردات,ردیف شماره ۱۱۰۴۰۵ از جدول شماره ۵,,0.000,0.000,110.000,110.000,,4
درآمدها,مالیات,مالیات بر واردات,ثبت معافیت‌ها و تخفیفات گمرکی,ثبت معافیت‌ها و تخفیفات گمرکی به نرخ صفر (جمعی - خرجی),ردیف شماره ۱۱۰۴۰۶ از جدول شماره ۵,,600.000,0.000,0.000,600.000,,4
درآمدها,مالیات,مالیات بر واردات,جریمه و عوارض (پلکانی) خودروهای آلاینده‌,حقوق ورودی موضوع ماده ۲ قانون مدیریت حمل و نقل سوخت (جمعی - خرجی),ردیف شماره ۱۱۰۴۰۸ از جدول شماره ۵,,450.000,0.000,0.000,450.000,,4
درآمدها,مالیات,مالیات بر واردات,,مالیات بر واردات,ردیف شماره ۱۱۰۴۰۰ از جدول شماره ۵,,"16,930.000",0.000,412.000,"17,342.000",,3
