LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1397,MORE INFO,LEVEL
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌های پیش‌بینی نشده,,,هزینه‌های پیش بینی نشده - کمک,ردیف شماره ۵۱۰۰۰۰ - ۱ از جدول شماره ۹,,50.000,0.000,0.000,50.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌‌های عمرانی پیش‌بینی نشده,,,هزینه‌های پیش بینی نشده سرمایه‌ای,ردیف شماره ۵۱۰۰۰۰ - ۲ از جدول شماره ۹,,0.000,40.000,0.000,40.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,ریاست‌جمهوری - هزینه‌های ضروری ,,,نهاد ریاست‌جمهوری - هزینه‌های ضروری دستگاه‌های اجرایی,ردیف شماره ۵۱۰۰۰۰ - ۳ از جدول شماره ۹,,70.000,0.000,0.000,70.000,اعتبارات این ردیف علاوه بر اعتبارات نهاد ریاست‌جمهوری در ردیف ۱۰۱۰۰۰ جدول شماره در بخش بودجه ملی است.,3
متفرقه,هزینه‌های پیش‌بینی نشده,سفرهای استانی رهبری,,,اعتبار طرح‌های مربوط به تعهدات سفرهای مقام رهبری,ردیف شماره ۵۱۰۰۰۰ - ۴ از جدول شماره ۹,,0.000,"1,000.000",0.000,"1,000.000",,3
متفرقه,هزینه‌های پیش‌بینی نشده,سفرهای استانی رییس‌جمهور,,,اعتبار طرح‌های مربوط به سفرهای رییس جمهور,ردیف شماره ۵۱۰۰۰۰ - ۵ از جدول شماره ۹,,0.000,64.000,0.000,64.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,,,,اعتبارات خاص و پیش بینی نشده,ردیف شماره ۵۱۰۰۰۰ از جدول شماره ۹,,120.000,"1,104.000",0.000,"1,224.000",,2
متفرقه,اعتبارات یارانه‌ها,یارانه کشاورزی,,,پرداخت یارانه نهاده‌ها و عوامل تولید کشاورزی,ردیف شماره ۵۲۰۰۰۰ - ۱ از جدول شماره ۹,,540.000,0.000,0.000,540.000,,3
متفرقه,اعتبارات یارانه‌ها,یارانه کالاهای اساسی,,,یارانه کالاهای اساسی و هزینه‌های کنترل و تنظیم بازار کلیه کالاها و محصولات کشاورزی و دام و شیلات و سایر کالاها و هزینه بازرسی کالا و خدمات و یارانه اصل و سود و جریمه تسهیلات و مابه‌التفاوت سود و کارمزد و سایر یارانه‌ها از جمله صادراتی و سایر بدهی‌ها و تعهدات دستگاه‌های اجرایی و تامین کالاها و خدمات ضروری,ردیف شماره ۵۲۰۰۰۰ - ۲ از جدول شماره ۹,,80.000,0.000,0.000,80.000,,3
متفرقه,اعتبارات یارانه‌ها,ضرر خرید تضمینی محصولات کشاورزی,,,پرداخت ضرر و زیان و یارانه سودخریدهای تضمینی محصولات کشاورزی و یارانه اصل و سود جریمه تسهیلات و مابه‌التفاوت سود و کارمزد و سایر یارانه‌ها و سایر بدهی‌ها و تعهدات تفاوت قیمت تعیین شده و تکلیف شده کالاها و خدمات و جبران ضرر و زیان ناشی از آن و تسویه موارد قبلی,ردیف شماره ۵۲۰۰۰۰ - ۳ از جدول شماره ۹,,200.000,0.000,0.000,200.000,,3
متفرقه,اعتبارات یارانه‌ها,کمک بلا عوض ,,,کمک بلا عوض، یارانه سود و کارمزد، تحقیقات، آموزش، فناوری‌های نو، فرهنگی، گردشگری و هنری، مسکن، اجتماعی و نظارت بر اجرای طرح‌های تولیدی و خدماتی و آموزش عالی و غیر انتفاعی و اشتغال و ارایه حمایت‌های مالی و ایفای تعهدات و موارد قبلی و کمک به مناطق کمتر توسعه یافته و غیر برخوردار و صندوق‌های مکانیزه فروش,ردیف شماره ۵۲۰۰۰۰ - ۴ از جدول شماره ۹,,30.000,50.000,0.000,80.000,,3
